Entry,Sample_IP,PTR,ASN,ASN_Desc,Owner,Abuse_Score,Abuse_Reports,Abuse_Last_Reported,Usage_Type,Abuse_Domain
159.65.219.252/32,159.65.219.252,e96980ad.tidalcoinage.internet-measurement.com,14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DIGITALOCEAN-159-65-0-0,100,781,2026-08-08T20:05:34+00:00,Data Center/Web Hosting/Transit,digitalocean.com
162.243.114.171/32,162.243.114.171,2d34d9e5.tidalcoinage.internet-measurement.com,14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DIGITALOCEAN-162-243-0-0,100,810,2026-08-08T14:06:51+00:00,Data Center/Web Hosting/Transit,digitalocean.com
162.243.208.127/32,162.243.208.127,21514a01.tidalcoinage.internet-measurement.com,14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DIGITALOCEAN-162-243-0-0,100,843,2026-08-08T20:00:39+00:00,Data Center/Web Hosting/Transit,digitalocean.com
165.154.11.210/32,165.154.11.210,(no PTR),135377,"UCLOUD-HK-AS-AP - UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK",UCLOUD-NG,100,798,2026-08-08T19:33:31+00:00,Data Center/Web Hosting/Transit,ucloud.cn
167.71.104.116/32,167.71.104.116,(no PTR),14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DIGITALOCEAN-167-71-0-0,27,6,2026-07-21T07:42:52+00:00,Data Center/Web Hosting/Transit,digitalocean.com
167.99.234.119/32,167.99.234.119,2be65cda.tidalcoinage.internet-measurement.com,14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DIGITALOCEAN-167-99-0-0,100,862,2026-08-08T19:57:50+00:00,Data Center/Web Hosting/Transit,digitalocean.com
172.94.9.47/32,172.94.9.47,(no PTR),213790,"LimitedNetwork-AS - Limited Network LTD, GB",INTERNET-SECURITY-LIMITED-NETWORK,75,123,2026-08-08T02:10:43+00:00,Data Center/Web Hosting/Transit,btcloud.ro
172.94.9.241/32,172.94.9.241,(no PTR),213790,"LimitedNetwork-AS - Limited Network LTD, GB",INTERNET-SECURITY-LIMITED-NETWORK,70,102,2026-08-08T19:55:13+00:00,Data Center/Web Hosting/Transit,btcloud.ro
172.104.30.12/32,172.104.30.12,(no PTR),63949,"AKAMAI-LINODE-AP - Akamai Connected Cloud, SG",LINODE,11,2,2026-07-22T05:12:46+00:00,Data Center/Web Hosting/Transit,linode.com
172.236.228.38/32,172.236.228.38,172-236-228-38.ip.linodeusercontent.com,63949,"AKAMAI-LINODE-AP - Akamai Connected Cloud, SG",LINODE,100,1690,2026-08-08T20:58:01+00:00,Data Center/Web Hosting/Transit,linode.com
175.30.48.246/32,175.30.48.246,(no PTR),4134,"CHINANET-BACKBONE - No.31,Jin-rong Street, CN",CC-YIQITONGXIN,71,63,2026-08-08T17:00:48+00:00,Fixed Line ISP,189.cn
180.95.231.82/32,180.95.231.82,(no PTR),4837,"CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN",UNICOM-GS,45,42,2026-07-22T10:12:57+00:00,Fixed Line ISP,chinaunicom.cn
182.88.135.166/32,182.88.135.166,(no PTR),4837,"CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN",UNICOM-GX,15,3,2026-08-08T18:33:36+00:00,Fixed Line ISP,chinaunicom.cn
182.242.168.74/32,182.242.168.74,(no PTR),4134,"CHINANET-BACKBONE - No.31,Jin-rong Street, CN",CHINANET-YN,49,45,2026-07-26T01:22:11+00:00,Fixed Line ISP,chinatelecom.cn
185.177.72.205/32,185.177.72.205,(no PTR),211590,"BUCKLOG - Bucklog SARL, FR",FR-FBW-NETWORKS-20161110,100,2057,2026-08-08T19:37:41+00:00,Data Center/Web Hosting/Transit,fiberway.fr
192.142.28.77/32,192.142.28.77,hosted-by.host-palace.com,60064,"HOSTPALACE - HOSTPALACE DATACENTERS LTD, GB",,100,4800,2026-08-08T18:29:52+00:00,Data Center/Web Hosting/Transit,host-palace.com
194.180.49.37/32,194.180.49.37,(no PTR),201814,"Mevspace - MEVSPACE sp. z o.o., PL",Dedicated_Servers_IP_Range,100,254,2026-08-08T15:10:42+00:00,Data Center/Web Hosting/Transit,neterra.net
195.178.110.247/32,195.178.110.247,(no PTR),48090,"DMZHOST - TECHOFF SRV LIMITED, GB",TECHOFF_SRV_LIMITED,100,78,2026-08-08T21:30:42+00:00,Data Center/Web Hosting/Transit,dmzhost.co
213.166.84.44/32,213.166.84.44,213-166-84-44.infrawat.ch,25369,"BANDWIDTH-AS - Hydra Communications Ltd, GB",INFRAWATCH,100,3191,2026-08-08T21:05:09+00:00,Fixed Line ISP,infrawat.ch
220.202.112.180/32,220.202.112.180,(no PTR),4837,"CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN",UNICOM,89,68,2026-08-04T16:04:29+00:00,Fixed Line ISP,chinaunicom.cn
223.85.251.55/32,223.85.251.55,(no PTR),9808,"CHINAMOBILE-CN - China Mobile Communications Group Co., Ltd., CN",CMNET,100,2455,2026-08-08T21:31:05+00:00,Fixed Line ISP,chinamobile.com
