Entry,Sample_IP,PTR,ASN,ASN_Desc,Owner,Abuse_Score,Abuse_Reports,Abuse_Last_Reported,Usage_Type,Abuse_Domain
123.245.85.140/32,123.245.85.140,(no PTR),4134,"CHINANET-BACKBONE - No.31,Jin-rong Street, CN",JunQu2,56,35,2026-08-12T14:03:47+00:00,Fixed Line ISP,chinatelecom.cn
134.209.114.213/32,134.209.114.213,(no PTR),14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DIGITALOCEAN-134-209-0-0,65,11,2026-08-12T15:55:05+00:00,Data Center/Web Hosting/Transit,digitalocean.com
138.246.253.24/32,138.246.253.24,planetlab24.gino-research.net.in.tum.de,12816,"MWN-AS - Leibniz-Rechenzentrum, DE",DE-LRZ-TUM-IN-I8-PLANETLAB,0,1724,2026-08-12T15:55:59+00:00,Data Center/Web Hosting/Transit,tum.de
139.162.69.42/32,139.162.69.42,li1549-42.members.linode.com,63949,"AKAMAI-LINODE-AP - Akamai Connected Cloud, SG",EU-LINODE-20141229,100,475,2026-08-12T15:57:06+00:00,Data Center/Web Hosting/Transit,linode.com
139.162.88.198/32,139.162.88.198,li1568-198.members.linode.com,63949,"AKAMAI-LINODE-AP - Akamai Connected Cloud, SG",EU-LINODE-20141229,100,1310,2026-08-12T14:00:01+00:00,Data Center/Web Hosting/Transit,linode.com
146.190.20.152/32,146.190.20.152,(no PTR),14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DO-13,2,3,2026-08-08T00:02:49+00:00,Data Center/Web Hosting/Transit,digitalocean.com
152.32.190.84/32,152.32.190.84,(no PTR),135377,"UCLOUD-HK-AS-AP - UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK",UCLOUD-HK,100,149,2026-08-12T15:11:49+00:00,Data Center/Web Hosting/Transit,ucloud.cn
157.230.99.188/32,157.230.99.188,(no PTR),14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DIGITALOCEAN-157-230-0-0,100,89,2026-08-12T16:00:06+00:00,Data Center/Web Hosting/Transit,digitalocean.com
164.52.0.92/32,164.52.0.92,(no PTR),63199,"CDSC-AS1 - CDS Global Cloud Co., Ltd, US",UCUL-JP,100,860,2026-08-12T08:05:11+00:00,Data Center/Web Hosting/Transit,urbanconnectedcloud.com
165.154.172.37/32,165.154.172.37,(no PTR),135377,"UCLOUD-HK-AS-AP - UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK",UCLOUD-US,100,2361,2026-08-12T14:54:51+00:00,Data Center/Web Hosting/Transit,ucloud.cn
167.172.40.9/32,167.172.40.9,(no PTR),14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DigitalOcean,100,1379,2026-08-12T14:37:26+00:00,Data Center/Web Hosting/Transit,digitalocean.com
170.106.140.110/32,170.106.140.110,(no PTR),132203,"TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN",ACEVILLEPTELTD-SG,100,474,2026-08-12T15:00:27+00:00,Data Center/Web Hosting/Transit,tencent.com
