Entry,Sample_IP,PTR,ASN,ASN_Desc,Owner,Abuse_Score,Abuse_Reports,Abuse_Last_Reported,Usage_Type,Abuse_Domain
4.227.179.79/32,4.227.179.79,azpdegtchq2h.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",MSFT,100,1129,2026-08-09T18:54:33+00:00,Data Center/Web Hosting/Transit,microsoft.com
10.128.0.2/32,10.128.0.2,(no PTR),N/A,N/A,Lookup Failed,0,0,2025-04-26T04:22:44+00:00,Reserved,N/A
13.89.124.219/32,13.89.124.219,azpdcsl3sa4k.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",MSFT,100,1552,2026-08-09T20:04:15+00:00,Data Center/Web Hosting/Transit,microsoft.com
15.204.101.211/32,15.204.101.211,ns1025813.ip-15-204-101.us,16276,"OVH - OVH SAS, FR",SD-HIL-ONE-NETWORK,100,1214,2026-08-09T20:21:12+00:00,Data Center/Web Hosting/Transit,ovhcloud.com
18.205.199.5/32,18.205.199.5,ec2-18-205-199-5.compute-1.amazonaws.com,14618,"AMAZON-AES - Amazon.com, Inc., US",AT-88-Z,70,42,2026-08-09T07:11:24+00:00,Data Center/Web Hosting/Transit,amazon.com
18.215.183.116/32,18.215.183.116,ec2-18-215-183-116.compute-1.amazonaws.com,14618,"AMAZON-AES - Amazon.com, Inc., US",AT-88-Z,100,302,2026-08-09T19:42:22+00:00,Data Center/Web Hosting/Transit,amazon.com
20.29.8.147/32,20.29.8.147,azpdcgsp1rt5.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",MSFT,100,1588,2026-08-09T18:04:15+00:00,Data Center/Web Hosting/Transit,microsoft.com
20.118.241.146/32,20.118.241.146,azpdcg5wkarh.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",MSFT,100,1570,2026-08-09T19:04:23+00:00,Data Center/Web Hosting/Transit,microsoft.com
20.163.33.221/32,20.163.33.221,azpdwsn72i3k.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",MSFT,100,1614,2026-08-09T16:04:22+00:00,Data Center/Web Hosting/Transit,microsoft.com
20.221.71.226/32,20.221.71.226,azpdcetl7xvx.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",MSFT,100,1626,2026-08-09T20:29:43+00:00,Data Center/Web Hosting/Transit,microsoft.com
34.38.237.247/32,34.38.237.247,247.237.38.34.bc.googleusercontent.com,396982,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",GOOGL-2,100,36,2026-08-09T17:44:57+00:00,Data Center/Web Hosting/Transit,google.com
